TURNO	Data e hora	Cargas Programadas	Cargas Recebidos	Cargas Pendentes	Pallets Armazenados	Pallets Movimentados	Material Secundário	Pallets de ME	Qualidade	Reportar PNP	Linha	Tempo de parada	Qtd de peças	Responsabilidade	Observações PNP	QTD. Linhas que rodaram	CCME	Buffer de Papelão	Contagem	Retrabalho	Campos Transitórios / Tarefas Pendentes	RIM	Observaçõoes Gerais
TURNO 1	22/08/2025	5	4	1	248	540	40	53	1	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	05 Paletes de SA com 05 Itens 01 palete de ME com 03	05 Paletes pendente de retirada			58 Itens  $R$ 394.959,70		
TURNO 2	22/08/2025	10	10	0	223	793	25	40	3	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	8	3	0	0	0	0	CCME= 5 Armazém de ME/ 3 Trans
TURNO 1	23/08/2025	5	2	3	166	340	24	60	1	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	TRANS 3 e ARMAZÉM 1	N/A	N/A	N/A	R$ 858,18 tratado do 999 EST.	N/A	14 PALLETS DE DEDUTÍVEL ENVIADOS E ARMAZENADOS EM MP, AINDA CONSTA MATERIAL NO PISO DE MP PARA ARMAZENAR.
TURNO 2	23/08/2025	7	7	0	88	530	42	35	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	0	5	0	0	0	0	1 PALLET COM DIVERGÊNCIA ENVIADO PARA GR ZONE 70700000321909
TURNO 1	24/08/2025	4	3	1	165	362	24	23	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	4	4 PALLETS e 11 ITENS	3 PALLETS DE CAIXARIAS E 4 DE ME AGUARDANDO RETIRADA DO TIME DA SEPARAÇÃO HIDRO/CREMES	N/A	N/A	INVENTÁRIO FISICO DE PALLETS DO 999 EST. CONFORME ITENS NO ESTOQUE 4.900 PEÇAS DE ROTULOS RECUPERADAS, ANALISE DO KANBAM E MISTA2, RECUPERAÇÃO DE SALDOS DE SEMI ACABADO DO 999 EST. PARA ITENS SEM SALDO NO PISO, ATUAÇÃO DA CONFERENTE CALIANDRA E CRISTIANE.	N/A	COMPACTAÇÃO DE 14 PALLETS DE SLEEP SHET.  SOLICITAÇÃO PENDENTE DE 52 PALLETS DE DEDUTIVEL PAPEL.
TURNO 2	24/08/2025	4	5	0	109	620	40	35	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	4	0	6	0	0	1	0	Geográfica de posições vazias na rua 16/ 33 pallets de dedutível enviados para MP/ encontramos 1 pallet divergente, pallet enviado para o campo GR-ZONE para correção. (ver email)
TURNO 1	25/08/2025	5	3	2	260	668	39	36	1	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	6 PALLET - 3 TRANS E 3 GALPÃO	6 PALLETS DE CAIXARIA.	N/A	N/A	R$ 321.751,55 (KANBAM, MISTA2 E REINTEGRA TRATADOS). SEM TAREFAS PENDENTES PARA O ARMAZÉM.	N/A	POR OPORTUNIDADE REALIZAMOS O AGRUPAMENTO DE 1 PALLET DE SLEEP SHEET.
TURNO 2	25/08/2025	6	2	1	168	326	35	42	1	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	6	1	0	0	05 paletes de colmeia movimentação MP  02 bobinas pendente de Recebimento movimentar físico já em GR - ESTOJOS	0	16 bandejas armazenadas e posições bloqueadas. Atendimento a 3 complementares de estojos. E1 e E5 Tratativas de material sem saldo - Sem pendências de paletes divergentes na área. 01 - paletes com avaria movimentação 160 peças  descarte ( Qualidade olhou na hora o material )  06 ordens de transformação de estojos para 22:00 hs. ( Apenas a ordem 1615661 - 1615662 foram abastecidas) Pendente de 04 ordens para abastecer. Paletes pendentes de dedutíveis movimentados para MP. CCME - 4 armazém 2 trans
TURNO 1	26/08/2025	7	4	3	259		26	37	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	07 Paletes reintegrados: 05 SA 02 ME			Op de transformação com item 785733 lote BZ017B, ajustado.			Atuação com compactação de 20 paletes fornecedor CPACK.
TURNO 2	26/08/2025	6	2	1	247	593	32	42	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	4	1	5	0	0	0	0	10 de MP - Armazenados colmeias  5 paletes de badejas armazenados e lançados na planilha ( com posições posições bloqueadas) Ordem de transformação E4 - 1615865 PARA 22:00 Já abastecida. Palete do item - 437195.00 ordem 1615589 E1 com caixas amassadas analisados e liberado pela qualidade já abastecido. Compactação SLIP SHEET  - 11 paletes
TURNO 3	26/08/2025	1	1	0	123	164	26	12	3	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	0		0	0	valor:  R$ 214.119,19 34 itens	0	10 paletes de slep shett compactado
TURNO 1	27/08/2025	6	3	3	262	687	14	51	1	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	02 Paletes reintegrados						17 Paletes de Sleep sheet compactados.
TURNO 2	27/08/2025	11	10	1	270	698	29	35	1	Sem PNP	N/A	N/A	N/A	N/A	N/A	4	10	Abastecido	0	0	Pallets de bisnaga em GR-ESTOJO para armazenagem.	0	N/A
TURNO 2	27/08/2025	11	10	1	270	698	29	35	1	Sem PNP	N/A	N/A	N/A	N/A	N/A	4	10	Abastecido	0	0	Pallets de bisnaga em GR-ESTOJO para armazenagem.	0	N/A
TURNO 3	27/08/2025	0	2	0	209	157	15	10	1	Sem PNP	N/A	N/A	N/A	N/A	N/A	N/S	7	0	0	0		0	32 PALETES DE BANDEJA SEPARADO NO PISO AGUARDANDO BAÚ DA COOPERCARGA.  31 DE BISNAGAS DESMOBILIZADOS PARA RUA CORRETA.
TURNO 1	28/08/2025	8	4	4	139	356	38	22	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	05 Paletes em 13 itens.				04 Itens com range entre 0>5 / 16>30 / >30. $10.502,00		Compactação de 06 paletes de bobina.
TURNO 2	28/08/2025	10	10	0	219	782	30	28	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	7	5	0	0	Material no piso, pendente de armazenagem.	0	Lista de bandeja disponível, para baixar. Item: 430067.00
TURNO 3	28/08/2025	0	3	0	129	229	29	11	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	4	0	0	0	0	N/A	0	10 PALETES DE BANDEJAS ARMAZENADAS 03 CARRETAS ANTERCIPADAS DA JANELA DO DIA 29/08 05 PALETES DE BANDEJAS ARMAZENADAS 30 PALETES DE BANDEJAS SEPARADAS PARA EXPEDIÇÃO
